wall_time,sim_time,symbol,event,signal,side,price,pos_lots,detail
00:23:54,1969-12-31 19:00:00,CROX,SUBMIT,NEUTRAL,SELL,95.87,0,up=0 dn=0 spread=0.4500
00:23:54,1969-12-31 19:00:00,CROX,QUOTED,NEUTRAL,,,0,BUY@95.46 SELL@95.87 up=0 dn=0
00:23:55,1969-12-31 19:00:00,PZZA,SUBMIT,NEUTRAL,BUY,47.52,0,up=0 dn=0 spread=0.3500
00:23:55,1969-12-31 19:00:00,PZZA,SUBMIT,NEUTRAL,SELL,47.83,0,up=0 dn=0 spread=0.3500
00:23:55,1969-12-31 19:00:00,PZZA,QUOTED,NEUTRAL,,,0,BUY@47.52 SELL@47.83 up=0 dn=0
00:23:56,1969-12-31 19:00:00,CAR,SUBMIT,NEUTRAL,BUY,97.91,0,up=0 dn=0 spread=1.9200
00:23:56,1969-12-31 19:00:00,CAR,SUBMIT,NEUTRAL,SELL,99.79,0,up=0 dn=0 spread=1.9200
00:23:56,1969-12-31 19:00:00,CAR,QUOTED,NEUTRAL,,,0,BUY@97.91 SELL@99.79 up=0 dn=0
00:23:57,1969-12-31 19:00:00,HELE,SUBMIT,NEUTRAL,BUY,64.34,0,up=0 dn=0 spread=0.7700
00:23:57,1969-12-31 19:00:00,HELE,SUBMIT,NEUTRAL,SELL,65.07,0,up=0 dn=0 spread=0.7700
00:23:57,1969-12-31 19:00:00,HELE,QUOTED,NEUTRAL,,,0,BUY@64.34 SELL@65.07 up=0 dn=0
00:23:58,1969-12-31 19:00:00,JACK,SUBMIT,NEUTRAL,BUY,46.07,0,up=0 dn=0 spread=0.4500
00:23:58,1969-12-31 19:00:00,JACK,SUBMIT,NEUTRAL,SELL,46.48,0,up=0 dn=0 spread=0.4500
00:23:58,1969-12-31 19:00:00,JACK,QUOTED,NEUTRAL,,,0,BUY@46.07 SELL@46.48 up=0 dn=0
00:23:59,1969-12-31 19:00:00,SHOO,SUBMIT,NEUTRAL,BUY,42.37,0,up=0 dn=0 spread=0.4000
00:23:59,1969-12-31 19:00:00,SHOO,SUBMIT,NEUTRAL,SELL,42.73,0,up=0 dn=0 spread=0.4000
00:23:59,1969-12-31 19:00:00,SHOO,QUOTED,NEUTRAL,,,0,BUY@42.37 SELL@42.73 up=0 dn=0
00:24:19,1969-12-31 19:00:00,TXRH,SUBMIT,NEUTRAL,BUY,192.8,0,up=0 dn=0 spread=1.4100
00:24:19,1969-12-31 19:00:00,TXRH,SUBMIT,NEUTRAL,SELL,194.17,0,up=0 dn=0 spread=1.4100
00:24:19,1969-12-31 19:00:00,TXRH,QUOTED,NEUTRAL,,,0,BUY@192.8 SELL@194.17 up=0 dn=0
00:24:20,1969-12-31 19:00:00,CROX,SUBMIT,NEUTRAL,BUY,96.07,0,up=0 dn=0 spread=0.4500
00:24:20,1969-12-31 19:00:00,CROX,SUBMIT,NEUTRAL,SELL,96.48,0,up=0 dn=0 spread=0.4500
00:24:20,1969-12-31 19:00:00,CROX,QUOTED,NEUTRAL,,,0,BUY@96.07 SELL@96.48 up=0 dn=0
00:24:21,1969-12-31 19:00:00,PZZA,SUBMIT,NEUTRAL,BUY,47.52,0,up=0 dn=0 spread=0.3500
00:24:21,1969-12-31 19:00:00,PZZA,SUBMIT,NEUTRAL,SELL,47.83,0,up=0 dn=0 spread=0.3500
00:24:21,1969-12-31 19:00:00,PZZA,QUOTED,NEUTRAL,,,0,BUY@47.52 SELL@47.83 up=0 dn=0
00:24:22,1969-12-31 19:00:00,CAR,SUBMIT,NEUTRAL,BUY,97.91,0,up=0 dn=0 spread=1.9200
00:24:22,1969-12-31 19:00:00,CAR,SUBMIT,NEUTRAL,SELL,99.79,0,up=0 dn=0 spread=1.9200
00:24:22,1969-12-31 19:00:00,CAR,QUOTED,NEUTRAL,,,0,BUY@97.91 SELL@99.79 up=0 dn=0
00:24:23,1969-12-31 19:00:00,HELE,SUBMIT,NEUTRAL,BUY,64.34,0,up=0 dn=0 spread=0.7700
00:24:23,1969-12-31 19:00:00,HELE,SUBMIT,NEUTRAL,SELL,65.07,0,up=0 dn=0 spread=0.7700
00:24:23,1969-12-31 19:00:00,HELE,QUOTED,NEUTRAL,,,0,BUY@64.34 SELL@65.07 up=0 dn=0
00:24:24,1969-12-31 19:00:00,JACK,SUBMIT,NEUTRAL,BUY,46.07,0,up=0 dn=0 spread=0.4500
00:24:24,1969-12-31 19:00:00,JACK,SUBMIT,NEUTRAL,SELL,46.48,0,up=0 dn=0 spread=0.4500
00:24:24,1969-12-31 19:00:00,JACK,QUOTED,NEUTRAL,,,0,BUY@46.07 SELL@46.48 up=0 dn=0
00:24:25,1969-12-31 19:00:00,SHOO,SUBMIT,NEUTRAL,BUY,42.37,0,up=0 dn=0 spread=0.4400
00:24:25,1969-12-31 19:00:00,SHOO,SUBMIT,NEUTRAL,SELL,42.77,0,up=0 dn=0 spread=0.4400
00:24:25,1969-12-31 19:00:00,SHOO,QUOTED,NEUTRAL,,,0,BUY@42.37 SELL@42.77 up=0 dn=0
00:24:42,1969-12-31 19:00:00,TXRH,SUBMIT,NEUTRAL,BUY,192.82,0,up=0 dn=0 spread=1.3900
00:24:42,1969-12-31 19:00:00,TXRH,SUBMIT,NEUTRAL,SELL,194.17,0,up=0 dn=0 spread=1.3900
00:24:42,1969-12-31 19:00:00,TXRH,QUOTED,NEUTRAL,,,0,BUY@192.82 SELL@194.17 up=0 dn=0
00:24:43,1969-12-31 19:00:00,CROX,SUBMIT,NEUTRAL,BUY,95.56,0,up=0 dn=0 spread=0.5700
00:24:43,1969-12-31 19:00:00,CROX,SUBMIT,NEUTRAL,SELL,96.09,0,up=0 dn=0 spread=0.5700
00:24:43,1969-12-31 19:00:00,CROX,QUOTED,NEUTRAL,,,0,BUY@95.56 SELL@96.09 up=0 dn=0
00:24:44,1969-12-31 19:00:00,PZZA,SUBMIT,NEUTRAL,BUY,47.52,0,up=0 dn=0 spread=0.3500
00:24:44,1969-12-31 19:00:00,PZZA,SUBMIT,NEUTRAL,SELL,47.83,0,up=0 dn=0 spread=0.3500
00:24:44,1969-12-31 19:00:00,PZZA,QUOTED,NEUTRAL,,,0,BUY@47.52 SELL@47.83 up=0 dn=0
00:24:45,1969-12-31 19:00:00,CAR,SUBMIT,NEUTRAL,BUY,98.52,0,up=0 dn=0 spread=1.3100
00:24:45,1969-12-31 19:00:00,CAR,SUBMIT,NEUTRAL,SELL,99.79,0,up=0 dn=0 spread=1.3100
00:24:45,1969-12-31 19:00:00,CAR,QUOTED,NEUTRAL,,,0,BUY@98.52 SELL@99.79 up=0 dn=0
00:24:46,1969-12-31 19:00:00,HELE,SUBMIT,NEUTRAL,BUY,64.34,0,up=0 dn=0 spread=0.7700
00:24:46,1969-12-31 19:00:00,HELE,SUBMIT,NEUTRAL,SELL,65.07,0,up=0 dn=0 spread=0.7700
00:24:46,1969-12-31 19:00:00,HELE,QUOTED,NEUTRAL,,,0,BUY@64.34 SELL@65.07 up=0 dn=0
00:24:47,1969-12-31 19:00:00,JACK,SUBMIT,NEUTRAL,BUY,46.07,0,up=0 dn=0 spread=0.4500
00:24:47,1969-12-31 19:00:00,JACK,SUBMIT,NEUTRAL,SELL,46.48,0,up=0 dn=0 spread=0.4500
00:24:47,1969-12-31 19:00:00,JACK,QUOTED,NEUTRAL,,,0,BUY@46.07 SELL@46.48 up=0 dn=0
00:24:48,1969-12-31 19:00:00,SHOO,SUBMIT,NEUTRAL,BUY,42.37,0,up=0 dn=0 spread=0.4400
00:24:48,1969-12-31 19:00:00,SHOO,SUBMIT,NEUTRAL,SELL,42.77,0,up=0 dn=0 spread=0.4400
00:24:48,1969-12-31 19:00:00,SHOO,QUOTED,NEUTRAL,,,0,BUY@42.37 SELL@42.77 up=0 dn=0
00:25:02,1969-12-31 19:00:00,TXRH,SUBMIT,NEUTRAL,BUY,192.84,0,up=0 dn=0 spread=1.3700
00:25:02,1969-12-31 19:00:00,TXRH,SUBMIT,NEUTRAL,SELL,194.17,0,up=0 dn=0 spread=1.3700
00:25:02,1969-12-31 19:00:00,TXRH,QUOTED,NEUTRAL,,,0,BUY@192.84 SELL@194.17 up=0 dn=0
00:25:03,1969-12-31 19:00:00,CROX,SUBMIT,NEUTRAL,BUY,95.58,0,up=0 dn=0 spread=0.5300
00:25:03,1969-12-31 19:00:00,CROX,SUBMIT,NEUTRAL,SELL,96.07,0,up=0 dn=0 spread=0.5300
00:25:03,1969-12-31 19:00:00,CROX,QUOTED,NEUTRAL,,,0,BUY@95.58 SELL@96.07 up=0 dn=0
00:25:04,1969-12-31 19:00:00,PZZA,SUBMIT,NEUTRAL,BUY,47.53,0,up=0 dn=0 spread=0.3400
00:25:04,1969-12-31 19:00:00,PZZA,SUBMIT,NEUTRAL,SELL,47.83,0,up=0 dn=0 spread=0.3400
00:25:04,1969-12-31 19:00:00,PZZA,QUOTED,NEUTRAL,,,0,BUY@47.53 SELL@47.83 up=0 dn=0
00:25:05,1969-12-31 19:00:00,CAR,SUBMIT,NEUTRAL,BUY,98.52,0,up=0 dn=0 spread=1.3100
00:25:05,1969-12-31 19:00:00,CAR,SUBMIT,NEUTRAL,SELL,99.79,0,up=0 dn=0 spread=1.3100
00:25:05,1969-12-31 19:00:00,CAR,QUOTED,NEUTRAL,,,0,BUY@98.52 SELL@99.79 up=0 dn=0
00:25:06,1969-12-31 19:00:00,HELE,SUBMIT,NEUTRAL,BUY,64.34,0,up=0 dn=0 spread=0.7700
00:25:06,1969-12-31 19:00:00,HELE,SUBMIT,NEUTRAL,SELL,65.07,0,up=0 dn=0 spread=0.7700
00:25:06,1969-12-31 19:00:00,HELE,QUOTED,NEUTRAL,,,0,BUY@64.34 SELL@65.07 up=0 dn=0
00:25:07,1969-12-31 19:00:00,JACK,SUBMIT,NEUTRAL,BUY,46.13,0,up=0 dn=0 spread=0.3900
00:25:07,1969-12-31 19:00:00,JACK,SUBMIT,NEUTRAL,SELL,46.48,0,up=0 dn=0 spread=0.3900
00:25:07,1969-12-31 19:00:00,JACK,QUOTED,NEUTRAL,,,0,BUY@46.13 SELL@46.48 up=0 dn=0
00:25:08,1969-12-31 19:00:00,SHOO,SUBMIT,NEUTRAL,BUY,42.37,0,up=0 dn=0 spread=0.4200
00:25:08,1969-12-31 19:00:00,SHOO,SUBMIT,NEUTRAL,SELL,42.75,0,up=0 dn=0 spread=0.4200
00:25:08,1969-12-31 19:00:00,SHOO,QUOTED,NEUTRAL,,,0,BUY@42.37 SELL@42.75 up=0 dn=0
00:25:25,2024-11-19 09:32:13,TXRH,SUBMIT,NEUTRAL,BUY,192.91,0,up=0 dn=0 spread=1.3000
00:25:25,2024-11-19 09:32:13,TXRH,SUBMIT,NEUTRAL,SELL,194.17,0,up=0 dn=0 spread=1.3000
00:25:25,2024-11-19 09:32:13,TXRH,QUOTED,NEUTRAL,,,0,BUY@192.91 SELL@194.17 up=0 dn=0
00:25:26,2024-11-19 09:32:13,CROX,SUBMIT,NEUTRAL,BUY,95.43,0,up=0 dn=0 spread=0.6700
00:25:26,2024-11-19 09:32:13,CROX,SUBMIT,NEUTRAL,SELL,96.06,0,up=0 dn=0 spread=0.6700
00:25:26,2024-11-19 09:32:13,CROX,QUOTED,NEUTRAL,,,0,BUY@95.43 SELL@96.06 up=0 dn=0
00:25:27,2024-11-19 09:32:13,PZZA,SUBMIT,NEUTRAL,BUY,47.53,0,up=0 dn=0 spread=0.3400
00:25:27,2024-11-19 09:32:13,PZZA,SUBMIT,NEUTRAL,SELL,47.83,0,up=0 dn=0 spread=0.3400
00:25:27,2024-11-19 09:32:13,PZZA,QUOTED,NEUTRAL,,,0,BUY@47.53 SELL@47.83 up=0 dn=0
00:25:28,2024-11-19 09:32:13,CAR,SUBMIT,NEUTRAL,BUY,98.52,0,up=0 dn=0 spread=1.4600
00:25:28,2024-11-19 09:32:13,CAR,SUBMIT,NEUTRAL,SELL,99.94,0,up=0 dn=0 spread=1.4600
00:25:28,2024-11-19 09:32:13,CAR,QUOTED,NEUTRAL,,,0,BUY@98.52 SELL@99.94 up=0 dn=0
00:25:29,2024-11-19 09:32:13,HELE,SUBMIT,NEUTRAL,BUY,64.73,0,up=0 dn=0 spread=0.3800
00:25:29,2024-11-19 09:32:13,HELE,SUBMIT,NEUTRAL,SELL,65.07,0,up=0 dn=0 spread=0.3800
00:25:29,2024-11-19 09:32:13,HELE,QUOTED,NEUTRAL,,,0,BUY@64.73 SELL@65.07 up=0 dn=0
00:25:30,2024-11-19 09:32:13,JACK,SUBMIT,NEUTRAL,BUY,46.19,0,up=0 dn=0 spread=0.3300
00:25:30,2024-11-19 09:32:13,JACK,SUBMIT,NEUTRAL,SELL,46.48,0,up=0 dn=0 spread=0.3300
00:25:30,2024-11-19 09:32:13,JACK,QUOTED,NEUTRAL,,,0,BUY@46.19 SELL@46.48 up=0 dn=0
00:25:31,2024-11-19 09:32:13,SHOO,SUBMIT,NEUTRAL,BUY,42.37,0,up=0 dn=0 spread=0.4200
00:25:31,2024-11-19 09:32:13,SHOO,SUBMIT,NEUTRAL,SELL,42.75,0,up=0 dn=0 spread=0.4200
00:25:31,2024-11-19 09:32:13,SHOO,QUOTED,NEUTRAL,,,0,BUY@42.37 SELL@42.75 up=0 dn=0
00:25:33,2024-11-19 09:32:19,TXRH,SUBMIT,NEUTRAL,BUY,192.91,0,up=0 dn=0 spread=1.3000
00:25:33,2024-11-19 09:32:19,TXRH,SUBMIT,NEUTRAL,SELL,194.17,0,up=0 dn=0 spread=1.3000
00:25:33,2024-11-19 09:32:19,TXRH,QUOTED,NEUTRAL,,,0,BUY@192.91 SELL@194.17 up=0 dn=0
00:25:34,2024-11-19 09:32:19,CROX,SUBMIT,NEUTRAL,BUY,95.43,0,up=0 dn=0 spread=0.6700
00:25:34,2024-11-19 09:32:19,CROX,SUBMIT,NEUTRAL,SELL,96.06,0,up=0 dn=0 spread=0.6700
00:25:34,2024-11-19 09:32:19,CROX,QUOTED,NEUTRAL,,,0,BUY@95.43 SELL@96.06 up=0 dn=0
00:25:35,2024-11-19 09:32:19,PZZA,SUBMIT,NEUTRAL,BUY,47.53,0,up=0 dn=0 spread=0.3400
00:25:35,2024-11-19 09:32:19,PZZA,SUBMIT,NEUTRAL,SELL,47.83,0,up=0 dn=0 spread=0.3400
00:25:35,2024-11-19 09:32:19,PZZA,QUOTED,NEUTRAL,,,0,BUY@47.53 SELL@47.83 up=0 dn=0
00:25:36,2024-11-19 09:32:19,CAR,SUBMIT,NEUTRAL,BUY,98.63,0,up=0 dn=0 spread=1.3500
00:25:36,2024-11-19 09:32:19,CAR,SUBMIT,NEUTRAL,SELL,99.94,0,up=0 dn=0 spread=1.3500
00:25:36,2024-11-19 09:32:19,CAR,QUOTED,NEUTRAL,,,0,BUY@98.63 SELL@99.94 up=0 dn=0
00:25:37,2024-11-19 09:32:19,HELE,SUBMIT,NEUTRAL,BUY,64.73,0,up=0 dn=0 spread=0.3800
00:25:37,2024-11-19 09:32:19,HELE,SUBMIT,NEUTRAL,SELL,65.07,0,up=0 dn=0 spread=0.3800
00:25:37,2024-11-19 09:32:19,HELE,QUOTED,NEUTRAL,,,0,BUY@64.73 SELL@65.07 up=0 dn=0
00:25:38,2024-11-19 09:32:19,JACK,SUBMIT,NEUTRAL,BUY,46.21,0,up=0 dn=0 spread=0.3100
00:25:38,2024-11-19 09:32:19,JACK,SUBMIT,NEUTRAL,SELL,46.48,0,up=0 dn=0 spread=0.3100
00:25:38,2024-11-19 09:32:19,JACK,QUOTED,NEUTRAL,,,0,BUY@46.21 SELL@46.48 up=0 dn=0
00:25:39,2024-11-19 09:32:19,SHOO,SUBMIT,NEUTRAL,BUY,42.37,0,up=0 dn=0 spread=0.4200
00:25:39,2024-11-19 09:32:19,SHOO,SUBMIT,NEUTRAL,SELL,42.75,0,up=0 dn=0 spread=0.4200
00:25:39,2024-11-19 09:32:19,SHOO,QUOTED,NEUTRAL,,,0,BUY@42.37 SELL@42.75 up=0 dn=0
00:25:40,2024-11-19 09:32:28,TXRH,SUBMIT,NEUTRAL,BUY,192.92,0,up=0 dn=0 spread=1.2900
00:25:40,2024-11-19 09:32:28,TXRH,SUBMIT,NEUTRAL,SELL,194.17,0,up=0 dn=0 spread=1.2900
00:25:40,2024-11-19 09:32:28,TXRH,QUOTED,NEUTRAL,,,0,BUY@192.92 SELL@194.17 up=0 dn=0
00:25:41,2024-11-19 09:32:28,CROX,SUBMIT,NEUTRAL,BUY,95.44,0,up=0 dn=0 spread=0.5700
00:25:41,2024-11-19 09:32:28,CROX,SUBMIT,NEUTRAL,SELL,95.97,0,up=0 dn=0 spread=0.5700
00:25:41,2024-11-19 09:32:28,CROX,QUOTED,NEUTRAL,,,0,BUY@95.44 SELL@95.97 up=0 dn=0
00:25:42,2024-11-19 09:32:28,PZZA,SUBMIT,NEUTRAL,BUY,47.53,0,up=0 dn=0 spread=0.3400
00:25:42,2024-11-19 09:32:28,PZZA,SUBMIT,NEUTRAL,SELL,47.83,0,up=0 dn=0 spread=0.3400
00:25:42,2024-11-19 09:32:28,PZZA,QUOTED,NEUTRAL,,,0,BUY@47.53 SELL@47.83 up=0 dn=0
00:25:43,2024-11-19 09:32:28,CAR,SUBMIT,NEUTRAL,BUY,98.63,0,up=0 dn=0 spread=1.3500
00:25:43,2024-11-19 09:32:28,CAR,SUBMIT,NEUTRAL,SELL,99.94,0,up=0 dn=0 spread=1.3500
00:25:43,2024-11-19 09:32:28,CAR,QUOTED,NEUTRAL,,,0,BUY@98.63 SELL@99.94 up=0 dn=0
00:25:44,2024-11-19 09:32:28,HELE,SUBMIT,NEUTRAL,BUY,64.73,0,up=0 dn=0 spread=0.3800
00:25:44,2024-11-19 09:32:28,HELE,SUBMIT,NEUTRAL,SELL,65.07,0,up=0 dn=0 spread=0.3800
00:25:44,2024-11-19 09:32:28,HELE,QUOTED,NEUTRAL,,,0,BUY@64.73 SELL@65.07 up=0 dn=0
00:25:45,2024-11-19 09:32:28,JACK,SUBMIT,NEUTRAL,BUY,46.23,0,up=0 dn=0 spread=0.2900
00:25:45,2024-11-19 09:32:28,JACK,SUBMIT,NEUTRAL,SELL,46.48,0,up=0 dn=0 spread=0.2900
00:25:45,2024-11-19 09:32:28,JACK,QUOTED,NEUTRAL,,,0,BUY@46.23 SELL@46.48 up=0 dn=0
00:25:46,2024-11-19 09:32:28,SHOO,SUBMIT,NEUTRAL,BUY,42.37,0,up=0 dn=0 spread=0.4200
00:25:46,2024-11-19 09:32:28,SHOO,SUBMIT,NEUTRAL,SELL,42.75,0,up=0 dn=0 spread=0.4200
00:25:46,2024-11-19 09:32:28,SHOO,QUOTED,NEUTRAL,,,0,BUY@42.37 SELL@42.75 up=0 dn=0
00:25:48,2024-11-19 09:32:35,TXRH,SUBMIT,NEUTRAL,BUY,192.92,0,up=0 dn=0 spread=1.2900
00:25:48,2024-11-19 09:32:35,TXRH,SUBMIT,NEUTRAL,SELL,194.17,0,up=0 dn=0 spread=1.2900
00:25:48,2024-11-19 09:32:35,TXRH,QUOTED,NEUTRAL,,,0,BUY@192.92 SELL@194.17 up=0 dn=0
00:25:49,2024-11-19 09:32:35,CROX,SUBMIT,NEUTRAL,BUY,95.44,0,up=0 dn=1 spread=0.5700
00:25:49,2024-11-19 09:32:35,CROX,SUBMIT,NEUTRAL,SELL,95.97,0,up=0 dn=1 spread=0.5700
00:25:49,2024-11-19 09:32:35,CROX,QUOTED,NEUTRAL,,,0,BUY@95.44 SELL@95.97 up=0 dn=1
00:25:50,2024-11-19 09:32:35,PZZA,SUBMIT,NEUTRAL,BUY,47.53,0,up=0 dn=0 spread=0.3400
00:25:50,2024-11-19 09:32:35,PZZA,SUBMIT,NEUTRAL,SELL,47.83,0,up=0 dn=0 spread=0.3400
00:25:50,2024-11-19 09:32:35,PZZA,QUOTED,NEUTRAL,,,0,BUY@47.53 SELL@47.83 up=0 dn=0
00:25:51,2024-11-19 09:32:35,CAR,SUBMIT,NEUTRAL,BUY,98.63,0,up=0 dn=0 spread=1.3500
00:25:51,2024-11-19 09:32:35,CAR,SUBMIT,NEUTRAL,SELL,99.94,0,up=0 dn=0 spread=1.3500
00:25:51,2024-11-19 09:32:35,CAR,QUOTED,NEUTRAL,,,0,BUY@98.63 SELL@99.94 up=0 dn=0
00:25:52,2024-11-19 09:32:35,HELE,SUBMIT,NEUTRAL,BUY,64.73,0,up=0 dn=0 spread=0.3800
00:25:52,2024-11-19 09:32:35,HELE,SUBMIT,NEUTRAL,SELL,65.07,0,up=0 dn=0 spread=0.3800
00:25:52,2024-11-19 09:32:35,HELE,QUOTED,NEUTRAL,,,0,BUY@64.73 SELL@65.07 up=0 dn=0
00:25:53,2024-11-19 09:32:35,JACK,SUBMIT,NEUTRAL,BUY,46.25,0,up=0 dn=0 spread=0.2700
00:25:53,2024-11-19 09:32:35,JACK,SUBMIT,NEUTRAL,SELL,46.48,0,up=0 dn=0 spread=0.2700
00:25:53,2024-11-19 09:32:35,JACK,QUOTED,NEUTRAL,,,0,BUY@46.25 SELL@46.48 up=0 dn=0
00:25:54,2024-11-19 09:32:35,SHOO,SUBMIT,NEUTRAL,BUY,42.37,0,up=0 dn=0 spread=0.4200
00:25:54,2024-11-19 09:32:35,SHOO,SUBMIT,NEUTRAL,SELL,42.75,0,up=0 dn=0 spread=0.4200
00:25:54,2024-11-19 09:32:35,SHOO,QUOTED,NEUTRAL,,,0,BUY@42.37 SELL@42.75 up=0 dn=0
00:25:55,2024-11-19 09:32:44,TXRH,SUBMIT,NEUTRAL,BUY,192.92,0,up=0 dn=0 spread=1.2900
00:25:55,2024-11-19 09:32:44,TXRH,SUBMIT,NEUTRAL,SELL,194.17,0,up=0 dn=0 spread=1.2900
00:25:55,2024-11-19 09:32:44,TXRH,QUOTED,NEUTRAL,,,0,BUY@192.92 SELL@194.17 up=0 dn=0
00:25:56,2024-11-19 09:32:44,CROX,SUBMIT,NEUTRAL,BUY,95.44,0,up=0 dn=2 spread=0.2900
00:25:56,2024-11-19 09:32:44,CROX,SUBMIT,NEUTRAL,SELL,95.69,0,up=0 dn=2 spread=0.2900
00:25:56,2024-11-19 09:32:44,CROX,QUOTED,NEUTRAL,,,0,BUY@95.44 SELL@95.69 up=0 dn=2
00:25:57,2024-11-19 09:32:44,PZZA,SUBMIT,NEUTRAL,BUY,47.53,0,up=0 dn=0 spread=0.3400
00:25:57,2024-11-19 09:32:44,PZZA,SUBMIT,NEUTRAL,SELL,47.83,0,up=0 dn=0 spread=0.3400
00:25:57,2024-11-19 09:32:44,PZZA,QUOTED,NEUTRAL,,,0,BUY@47.53 SELL@47.83 up=0 dn=0
00:25:58,2024-11-19 09:32:44,CAR,SUBMIT,NEUTRAL,BUY,98.63,0,up=0 dn=0 spread=1.3500
00:25:58,2024-11-19 09:32:44,CAR,SUBMIT,NEUTRAL,SELL,99.94,0,up=0 dn=0 spread=1.3500
00:25:58,2024-11-19 09:32:44,CAR,QUOTED,NEUTRAL,,,0,BUY@98.63 SELL@99.94 up=0 dn=0
00:25:59,2024-11-19 09:32:44,HELE,SUBMIT,NEUTRAL,BUY,64.73,0,up=0 dn=0 spread=0.3800
00:25:59,2024-11-19 09:32:44,HELE,SUBMIT,NEUTRAL,SELL,65.07,0,up=0 dn=0 spread=0.3800
00:25:59,2024-11-19 09:32:44,HELE,QUOTED,NEUTRAL,,,0,BUY@64.73 SELL@65.07 up=0 dn=0
00:26:00,2024-11-19 09:32:44,JACK,SUBMIT,NEUTRAL,BUY,46.48,-1,up=0 dn=0 spread=0.3700
00:26:00,2024-11-19 09:32:44,JACK,SUBMIT,NEUTRAL,SELL,46.81,-1,up=0 dn=0 spread=0.3700
00:26:00,2024-11-19 09:32:44,JACK,QUOTED,NEUTRAL,,,-1,BUY@46.48 SELL@46.81 up=0 dn=0
00:26:01,2024-11-19 09:32:44,SHOO,SUBMIT,NEUTRAL,BUY,42.37,-1,up=1 dn=0 spread=0.4200
00:26:01,2024-11-19 09:32:44,SHOO,SUBMIT,NEUTRAL,SELL,42.75,-1,up=1 dn=0 spread=0.4200
00:26:01,2024-11-19 09:32:44,SHOO,QUOTED,NEUTRAL,,,-1,BUY@42.37 SELL@42.75 up=1 dn=0
00:26:03,2024-11-19 09:32:49,TXRH,SUBMIT,NEUTRAL,BUY,192.92,0,up=0 dn=0 spread=1.2900
