[[32;1;1mINFO[0m] Connection established.
[21:27:46][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 31.80 | Mid: 198.0600 | Sprd: 0.0800
[21:27:55][AMZN] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 1 | NeutStr: 0 | EMA: 73.86 | Mid: 152.5800 | Sprd: 0.0400
[21:27:55][MSFT] State: FLAT     | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 1 | NeutStr: 0 | EMA: -79.76 | Mid: 388.7300 | Sprd: 0.2800
[21:27:56][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 25.06 | Mid: 198.5800 | Sprd: 0.1600
[21:27:56][AMZN] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 2 | NeutStr: 0 | EMA: 97.85 | Mid: 152.6150 | Sprd: 0.1100
[21:27:56][MSFT] State: FLAT     | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 2 | NeutStr: 0 | EMA: -86.64 | Mid: 388.7200 | Sprd: 0.2600
[21:27:57][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -2.89 | Mid: 198.6250 | Sprd: 0.0300
[21:27:57][AMZN] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 3 | NeutStr: 0 | EMA: 74.55 | Mid: 152.6150 | Sprd: 0.0700
[21:27:57][MSFT] State: FLAT     | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 3 | NeutStr: 0 | EMA: -59.72 | Mid: 388.8550 | Sprd: 0.3500
[21:27:58][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -11.65 | Mid: 198.7100 | Sprd: 0.1200
[21:27:58][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 57.08 | Mid: 152.6400 | Sprd: 0.0800
[21:27:58][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -19.15 | Mid: 388.7600 | Sprd: 0.1600
[21:27:59][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -8.19 | Mid: 199.1150 | Sprd: 0.1100
[21:27:59][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 18.80 | Mid: 152.4950 | Sprd: 0.1100
[21:27:59][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 5.13 | Mid: 388.9200 | Sprd: 0.3400
[21:28:00][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 14.97 | Mid: 199.1750 | Sprd: 0.1100
[21:28:00][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 16.10 | Mid: 152.6200 | Sprd: 0.0800
[21:28:00][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 0.11 | Mid: 388.7400 | Sprd: 0.2400
[21:28:01][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 60.61 | Mid: 199.2950 | Sprd: 0.0300
[21:28:01][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 20.57 | Mid: 152.8850 | Sprd: 0.0900
[21:28:01][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 8.78 | Mid: 388.8450 | Sprd: 0.4300
[21:28:02][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 96.25 | Mid: 199.3050 | Sprd: 0.1700
[21:28:02][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 49.95 | Mid: 153.0550 | Sprd: 0.1300
[21:28:02][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -3.13 | Mid: 388.5350 | Sprd: 0.1900
[21:28:03][AAPL] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 1 | NeutStr: 0 | EMA: 101.78 | Mid: 199.5100 | Sprd: 0.0400
[21:28:03][AMZN] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 1 | NeutStr: 0 | EMA: 73.22 | Mid: 153.0650 | Sprd: 0.1100
[21:28:03][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -3.84 | Mid: 388.5750 | Sprd: 0.2900
[21:28:04][AMZN] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 2 | NeutStr: 0 | EMA: 117.55 | Mid: 153.1150 | Sprd: 0.1300
[21:28:04][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 87.30 | Mid: 199.3650 | Sprd: 0.1900
[21:28:04][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -22.97 | Mid: 388.5500 | Sprd: 0.2000
[21:28:05][AMZN] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 3 | NeutStr: 0 | EMA: 135.60 | Mid: 153.0950 | Sprd: 0.0900
[21:28:05][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 60.45 | Mid: 199.1400 | Sprd: 0.1200
[21:28:05][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -30.39 | Mid: 388.5250 | Sprd: 0.2900
[21:28:06][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 21.34 | Mid: 199.0850 | Sprd: 0.0900
[21:28:06][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 0 | NeutStr: 0 | EMA: 122.22 | Mid: 152.9400 | Sprd: 0.1200
[21:28:06][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -28.77 | Mid: 388.5650 | Sprd: 0.2100
[21:28:07][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 0.42 | Mid: 199.1250 | Sprd: 0.2300
[21:28:07][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 1 | NeutStr: 0 | EMA: 90.44 | Mid: 152.9100 | Sprd: 0.1400
[21:28:07][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -10.63 | Mid: 388.6500 | Sprd: 0.2000
[21:28:08][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -12.55 | Mid: 199.1800 | Sprd: 0.1400
[21:28:08][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 0.48 | Mid: 388.6800 | Sprd: 0.3600
[21:28:08][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 2 | NeutStr: 0 | EMA: 72.34 | Mid: 153.0800 | Sprd: 0.1400
[21:28:09][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -3.59 | Mid: 199.2700 | Sprd: 0.1200
[21:28:09][AMZN] State: ENTERING | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 1 | EMA: 40.77 | Mid: 153.0950 | Sprd: 0.1300
[21:28:09][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 20.17 | Mid: 388.7550 | Sprd: 0.2100
[21:28:10][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 7.42 | Mid: 199.2100 | Sprd: 0.0800
[21:28:10][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 32.75 | Mid: 388.4250 | Sprd: 0.1900
[21:28:10][AMZN] State: ENTERING | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 2 | EMA: 12.52 | Mid: 152.8500 | Sprd: 0.1200
[21:28:11][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 13.08 | Mid: 199.0100 | Sprd: 0.1200
[21:28:11][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 37.74 | Mid: 388.4800 | Sprd: 0.2600
[21:28:11][AMZN] State: ENTERING | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 3 | EMA: 4.74 | Mid: 152.8450 | Sprd: 0.1700
[AMZN][ENTERING] 4 neutral ticks — aborting entry
[21:28:12][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 19.00 | Mid: 199.0550 | Sprd: 0.2100
[21:28:12][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 18.23 | Mid: 388.2450 | Sprd: 0.2900
[21:28:12][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 19.79 | Mid: 153.1600 | Sprd: 0.1600
[21:28:13][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 4.04 | Mid: 153.1550 | Sprd: 0.1500
[21:28:13][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 4.18 | Mid: 198.9350 | Sprd: 0.1900
[21:28:13][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -22.43 | Mid: 387.8150 | Sprd: 0.1500
[21:28:14][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 6.37 | Mid: 153.2400 | Sprd: 0.1000
[21:28:14][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -4.19 | Mid: 199.1300 | Sprd: 0.0800
[21:28:14][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -46.87 | Mid: 387.9800 | Sprd: 0.3000
[21:28:15][AMZN] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 30.86 | Mid: 153.3950 | Sprd: 0.1700
[21:28:15][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 3.79 | Mid: 199.6300 | Sprd: 0.1000
[21:28:15][MSFT] State: FLAT     | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 1 | NeutStr: 0 | EMA: -76.70 | Mid: 387.3200 | Sprd: 0.1800
[21:28:16][AMZN] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 1 | NeutStr: 0 | EMA: 71.25 | Mid: 153.5400 | Sprd: 0.1200
[21:28:16][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 27.85 | Mid: 199.7650 | Sprd: 0.0700
[21:28:16][MSFT] State: FLAT     | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 2 | NeutStr: 0 | EMA: -116.45 | Mid: 387.1800 | Sprd: 0.2200
[21:28:17][AMZN] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 2 | NeutStr: 0 | EMA: 107.75 | Mid: 154.0500 | Sprd: 0.0800
[21:28:17][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 52.35 | Mid: 199.9500 | Sprd: 0.0200
[21:28:17][MSFT] State: ENTERING | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 0 | NeutStr: 0 | EMA: -142.20 | Mid: 386.8600 | Sprd: 0.2600
[21:28:18][AMZN] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 3 | NeutStr: 0 | EMA: 148.20 | Mid: 154.4650 | Sprd: 0.0700
[21:28:18][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 68.05 | Mid: 199.6200 | Sprd: 0.0800
[21:28:18][MSFT] State: ENTERING | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 1 | NeutStr: 0 | EMA: -132.75 | Mid: 386.8900 | Sprd: 0.3600
[21:28:19][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 0 | NeutStr: 0 | EMA: 172.26 | Mid: 154.5000 | Sprd: 0.1000
[21:28:19][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 51.45 | Mid: 199.5550 | Sprd: 0.0700
[21:28:19][MSFT] State: ENTERING | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 2 | NeutStr: 0 | EMA: -138.38 | Mid: 386.7550 | Sprd: 0.2300
[21:28:20][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 15.07 | Mid: 198.9000 | Sprd: 0.0800
[21:28:20][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 1 | NeutStr: 0 | EMA: 185.32 | Mid: 154.5400 | Sprd: 0.1000
[21:28:20][MSFT] State: ENTERING | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 3 | NeutStr: 0 | EMA: -126.68 | Mid: 386.3400 | Sprd: 0.3200
[21:28:21][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -41.80 | Mid: 198.8400 | Sprd: 0.1200
[21:28:21][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 2 | NeutStr: 0 | EMA: 165.49 | Mid: 153.9800 | Sprd: 0.2200
[21:28:21][MSFT] State: ENTERING | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 4 | NeutStr: 0 | EMA: -109.59 | Mid: 386.2850 | Sprd: 0.3700
[21:28:22][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -72.43 | Mid: 199.3550 | Sprd: 0.1100
[21:28:22][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 3 | NeutStr: 0 | EMA: 149.62 | Mid: 154.2200 | Sprd: 0.1600
[21:28:22][MSFT] State: ENTERING | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 5 | NeutStr: 0 | EMA: -92.79 | Mid: 386.2800 | Sprd: 0.3800
[21:28:23][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -58.11 | Mid: 199.4050 | Sprd: 0.1100
[21:28:23][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 4 | NeutStr: 0 | EMA: 138.33 | Mid: 154.2450 | Sprd: 0.1100
[21:28:23][MSFT] State: ENTERING | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 6 | NeutStr: 0 | EMA: -96.24 | Mid: 386.2300 | Sprd: 0.3600
[21:28:24][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -20.76 | Mid: 199.4400 | Sprd: 0.0800
[21:28:24][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 5 | NeutStr: 0 | EMA: 136.10 | Mid: 154.3050 | Sprd: 0.0700
[21:28:24][MSFT] State: ENTERING | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 7 | NeutStr: 0 | EMA: -92.72 | Mid: 386.2300 | Sprd: 0.3600
[21:28:25][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 37.94 | Mid: 199.5250 | Sprd: 0.0700
[21:28:25][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 6 | NeutStr: 0 | EMA: 109.94 | Mid: 154.2700 | Sprd: 0.0600
[21:28:25][MSFT] State: ENTERING | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 8 | NeutStr: 0 | EMA: -102.34 | Mid: 386.1800 | Sprd: 0.2800
[21:28:26][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 121.03 | Mid: 199.7000 | Sprd: 0.1200
[21:28:26][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 7 | NeutStr: 0 | EMA: 106.24 | Mid: 154.2850 | Sprd: 0.0300
[21:28:26][MSFT] State: ENTERING | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 9 | NeutStr: 0 | EMA: -100.53 | Mid: 386.2250 | Sprd: 0.3700
[21:28:27][AAPL] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 1 | NeutStr: 0 | EMA: 166.74 | Mid: 199.9150 | Sprd: 0.1500
[21:28:27][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 8 | NeutStr: 0 | EMA: 104.76 | Mid: 154.7800 | Sprd: 0.0400
[21:28:27][MSFT] State: ENTERING | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 10 | NeutStr: 0 | EMA: -112.52 | Mid: 386.1500 | Sprd: 0.2600
[21:28:28][AAPL] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 2 | NeutStr: 0 | EMA: 182.84 | Mid: 200.0650 | Sprd: 0.0700
[21:28:28][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 9 | NeutStr: 0 | EMA: 106.00 | Mid: 154.9900 | Sprd: 0.0200
[21:28:28][MSFT] State: ENTERING | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 11 | NeutStr: 0 | EMA: -96.47 | Mid: 386.1750 | Sprd: 0.2100
[21:28:29][AAPL] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 3 | NeutStr: 0 | EMA: 189.79 | Mid: 200.4400 | Sprd: 0.2000
[21:28:29][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 10 | NeutStr: 0 | EMA: 180.04 | Mid: 155.1750 | Sprd: 0.0500
[21:28:29][MSFT] State: ENTERING | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 12 | NeutStr: 0 | EMA: -67.11 | Mid: 386.2850 | Sprd: 0.3100
[21:28:30][AAPL] State: FLAT     | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 4 | NeutStr: 0 | EMA: 169.15 | Mid: 199.8350 | Sprd: 0.1100
[21:28:30][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 11 | NeutStr: 0 | EMA: 260.52 | Mid: 155.2200 | Sprd: 0.0600
[21:28:30][MSFT] State: ENTERING | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 1 | EMA: -45.77 | Mid: 386.0900 | Sprd: 0.1600
[21:28:31][AAPL] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 0 | NeutStr: 0 | EMA: 117.69 | Mid: 199.2600 | Sprd: 0.3200
[21:28:31][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 12 | NeutStr: 0 | EMA: 324.11 | Mid: 155.2950 | Sprd: 0.0500
[21:28:31][MSFT] State: ENTERING | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 2 | EMA: -51.36 | Mid: 385.8800 | Sprd: 0.2000
[21:28:32][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 13 | NeutStr: 0 | EMA: 363.77 | Mid: 155.4050 | Sprd: 0.0700
[21:28:32][AAPL] State: ENTERING | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 1 | EMA: 85.02 | Mid: 199.3250 | Sprd: 0.1100
[21:28:32][MSFT] State: ENTERING | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 3 | EMA: -42.34 | Mid: 385.7600 | Sprd: 0.2000
[MSFT][ENTERING] 4 neutral ticks — aborting entry
[21:28:33][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 14 | NeutStr: 0 | EMA: 388.26 | Mid: 155.7500 | Sprd: 0.0200
[21:28:33][AAPL] State: ENTERING | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 2 | EMA: 70.01 | Mid: 199.4100 | Sprd: 0.1200
[21:28:33][MSFT] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: -57.15 | Mid: 385.6400 | Sprd: 0.1800
[21:28:34][MSFT] State: FLAT     | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 1 | NeutStr: 0 | EMA: -75.14 | Mid: 385.7500 | Sprd: 0.3400
[21:28:34][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 15 | NeutStr: 0 | EMA: 311.26 | Mid: 155.5250 | Sprd: 0.1100
[21:28:34][AAPL] State: ENTERING | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 3 | EMA: 34.01 | Mid: 198.8450 | Sprd: 0.0100
[AAPL][ENTERING] 4 neutral ticks — aborting entry
[21:28:35][MSFT] State: FLAT     | Pos:    +0 | Sig: SELL_PRESSURE  | Streak: 2 | NeutStr: 0 | EMA: -61.26 | Mid: 386.2650 | Sprd: 0.1700
[21:28:35][AMZN] State: ENTERING | Pos:    +0 | Sig: BUY_PRESSURE   | Streak: 16 | NeutStr: 0 | EMA: 254.03 | Mid: 155.8250 | Sprd: 0.0700
[21:28:35][AAPL] State: FLAT     | Pos:    +0 | Sig: NEUTRAL        | Streak: 0 | NeutStr: 0 | EMA: 34.79 | Mid: 199.3050 | Sprd: 0.1500
