[[32;1;1mINFO[0m] Connection established.
[02:21:53] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 0.0000 | Mid: 191.4750
[02:22:51] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 8.9131 | Mid: 191.1750
[02:22:52] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 10.7392 | Mid: 191.1750
[02:22:53] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 12.3174 | Mid: 191.1750
[02:22:54] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 14.8922 | Mid: 191.1750
[02:22:55] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 16.3645 | Mid: 191.2850
[02:22:56] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 17.3952 | Mid: 191.2850
[02:22:57] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 18.7166 | Mid: 191.2850
[02:22:58] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 19.3416 | Mid: 191.2850
[02:22:59] State: FLAT | Pos: 0 | Sig: BUY_PRESSURE | Streak: 1 | EMA: 27.5791 | Mid: 191.3650
[02:23:00] State: FLAT | Pos: 0 | Sig: BUY_PRESSURE | Streak: 2 | EMA: 27.4054 | Mid: 191.3650
[02:23:01] State: FLAT | Pos: 0 | Sig: BUY_PRESSURE | Streak: 3 | EMA: 26.4138 | Mid: 191.3650
[02:23:02] State: FLAT | Pos: 0 | Sig: BUY_PRESSURE | Streak: 4 | EMA: 28.5096 | Mid: 191.4050
[02:23:03] State: ENTERING | Pos: 0 | Sig: BUY_PRESSURE | Streak: 0 | EMA: 30.9368 | Mid: 191.3600
[02:23:04] State: ENTERING | Pos: 0 | Sig: BUY_PRESSURE | Streak: 1 | EMA: 24.8357 | Mid: 191.3600
[02:23:05] State: ENTERING | Pos: 0 | Sig: BUY_PRESSURE | Streak: 2 | EMA: 20.8650 | Mid: 191.3600
[02:23:06] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 18.9555 | Mid: 191.3600
[02:23:07] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 9.6089 | Mid: 191.3550
[02:23:08] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 2.1062 | Mid: 191.3550
[02:23:09] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -3.1457 | Mid: 191.3550
[02:23:10] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -8.0220 | Mid: 191.3550
[02:23:11] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -11.4354 | Mid: 191.3550
[02:23:12] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -8.9048 | Mid: 191.3550
[02:23:13] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -15.6233 | Mid: 191.2250
[02:23:14] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -14.7163 | Mid: 191.2050
[02:23:15] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -11.4114 | Mid: 191.2100
[02:23:16] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -15.2780 | Mid: 191.1150
[02:23:17] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -18.2846 | Mid: 191.1150
[02:23:18] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -16.9692 | Mid: 191.0950
[02:23:19] State: FLAT | Pos: 0 | Sig: SELL_PRESSURE | Streak: 1 | EMA: -22.2585 | Mid: 191.0950
[02:23:20] State: FLAT | Pos: 0 | Sig: SELL_PRESSURE | Streak: 2 | EMA: -32.8009 | Mid: 190.9950
[02:23:21] State: FLAT | Pos: 0 | Sig: SELL_PRESSURE | Streak: 3 | EMA: -31.1206 | Mid: 191.0750
[02:23:22] State: FLAT | Pos: 0 | Sig: SELL_PRESSURE | Streak: 4 | EMA: -33.9945 | Mid: 190.9600
[02:23:23] State: ENTERING | Pos: 0 | Sig: SELL_PRESSURE | Streak: 0 | EMA: -30.9361 | Mid: 190.9600
[02:23:24] State: ENTERING | Pos: 0 | Sig: SELL_PRESSURE | Streak: 1 | EMA: -28.1953 | Mid: 190.9600
[02:23:25] State: HOLDING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: -17.1567 | Mid: 191.0750
[02:23:26] State: HOLDING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: -12.0097 | Mid: 191.0750
[02:23:27] State: HOLDING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: -3.0668 | Mid: 191.0800
[02:23:28] State: HOLDING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 3.4933 | Mid: 191.0800
[02:23:29] State: HOLDING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 7.4853 | Mid: 191.0800
[02:23:30] State: HOLDING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 6.5297 | Mid: 191.0800
[02:23:31] State: HOLDING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 5.5608 | Mid: 191.0800
[02:23:32] State: HOLDING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 3.5926 | Mid: 191.0800
[02:23:33] State: HOLDING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 1.9148 | Mid: 191.0800
[02:23:34] State: HOLDING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 1.3403 | Mid: 191.0800
[02:23:35] State: EXITING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 2.9182 | Mid: 191.0850
[02:23:36] State: EXITING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 4.0228 | Mid: 191.0850
[02:23:37] State: EXITING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 4.7959 | Mid: 191.0850
[02:23:38] State: EXITING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 3.3572 | Mid: 191.0500
[02:23:39] State: EXITING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 3.7600 | Mid: 191.1300
[02:23:40] State: EXITING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 2.3620 | Mid: 191.1300
[02:23:41] State: EXITING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 3.2734 | Mid: 191.1450
[02:23:42] State: EXITING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 3.9114 | Mid: 191.1450
[02:23:43] State: EXITING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: -0.1420 | Mid: 191.1150
[02:23:44] State: EXITING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 2.0906 | Mid: 191.1300
[02:23:45] State: EXITING | Pos: -100 | Sig: NEUTRAL | Streak: 0 | EMA: 1.4634 | Mid: 191.1250
[02:23:46] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -3.7756 | Mid: 191.0850
[02:23:47] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -7.7429 | Mid: 191.0850
[02:23:48] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -7.7001 | Mid: 191.0200
[02:23:49] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -14.1500 | Mid: 191.0200
[02:23:50] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -16.7750 | Mid: 191.0200
[02:23:51] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -16.0025 | Mid: 191.0200
[02:23:52] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -15.1618 | Mid: 191.0200
[02:23:53] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -10.9132 | Mid: 191.0200
[02:23:54] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -3.9793 | Mid: 191.2250
[02:23:55] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 3.6045 | Mid: 191.2300
[02:23:56] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 9.2132 | Mid: 191.2300
[02:23:57] State: FLAT | Pos: 0 | Sig: BUY_PRESSURE | Streak: 1 | EMA: 20.6992 | Mid: 191.2600
[02:23:58] State: FLAT | Pos: 0 | Sig: BUY_PRESSURE | Streak: 2 | EMA: 28.7394 | Mid: 191.2600
[02:23:59] State: FLAT | Pos: 0 | Sig: BUY_PRESSURE | Streak: 3 | EMA: 28.4876 | Mid: 191.1600
[02:24:00] State: FLAT | Pos: 0 | Sig: BUY_PRESSURE | Streak: 4 | EMA: 25.5813 | Mid: 191.1600
[02:24:01] State: ENTERING | Pos: 0 | Sig: BUY_PRESSURE | Streak: 0 | EMA: 23.5469 | Mid: 191.1600
[02:24:02] State: HOLDING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 8.9529 | Mid: 191.0200
[02:24:03] State: HOLDING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 3.2670 | Mid: 191.0600
[02:24:04] State: HOLDING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 3.2169 | Mid: 191.0650
[02:24:05] State: HOLDING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 3.1818 | Mid: 191.0650
[02:24:06] State: HOLDING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: -0.0227 | Mid: 191.0150
[02:24:07] State: HOLDING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 0.5541 | Mid: 190.9850
[02:24:08] State: HOLDING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: -0.7821 | Mid: 191.0750
[02:24:09] State: HOLDING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 1.8225 | Mid: 190.9900
[02:24:10] State: HOLDING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 4.2758 | Mid: 191.1000
[02:24:11] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 0.0230 | Mid: 190.9200
[02:24:12] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 0.1361 | Mid: 190.9200
[02:24:13] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: -2.5747 | Mid: 190.9200
[02:24:14] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: -17.7623 | Mid: 190.8700
[02:24:15] State: EXITING | Pos: 200 | Sig: SELL_PRESSURE | Streak: 1 | EMA: -23.2936 | Mid: 190.8750
[02:24:16] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: -18.0155 | Mid: 190.8750
[02:24:17] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: -13.4209 | Mid: 190.8750
[02:24:18] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: -10.2046 | Mid: 190.8750
[02:24:19] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: -0.2132 | Mid: 190.8750
[02:24:20] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 4.1707 | Mid: 190.8950
[02:24:21] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 7.2395 | Mid: 190.8950
[02:24:22] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 8.1877 | Mid: 190.8950
[02:24:23] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 8.8514 | Mid: 190.8950
[02:24:24] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 9.3160 | Mid: 190.8950
[02:24:25] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 9.8812 | Mid: 190.9000
[02:24:26] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: 10.2768 | Mid: 190.9000
[02:24:27] State: EXITING | Pos: 200 | Sig: NEUTRAL | Streak: 0 | EMA: -0.0062 | Mid: 190.8350
[02:24:28] State: EXITING | Pos: 100 | Sig: NEUTRAL | Streak: 0 | EMA: -7.2044 | Mid: 190.8350
[02:24:29] State: EXITING | Pos: 100 | Sig: NEUTRAL | Streak: 0 | EMA: -12.2431 | Mid: 190.8350
[02:24:30] State: EXITING | Pos: 100 | Sig: NEUTRAL | Streak: 0 | EMA: -19.1301 | Mid: 190.8350
[02:24:31] State: EXITING | Pos: 100 | Sig: SELL_PRESSURE | Streak: 1 | EMA: -23.9511 | Mid: 190.8350
[02:24:32] State: EXITING | Pos: 100 | Sig: NEUTRAL | Streak: 0 | EMA: -14.6958 | Mid: 190.8400
[02:24:33] State: EXITING | Pos: 100 | Sig: NEUTRAL | Streak: 0 | EMA: -8.2170 | Mid: 190.8400
[02:24:34] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -3.6819 | Mid: 190.8400
[02:24:35] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -0.5073 | Mid: 190.8400
[02:24:36] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 4.1449 | Mid: 190.8650
[02:24:37] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 5.3314 | Mid: 190.8650
[02:24:38] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 6.7620 | Mid: 190.8650
[02:24:39] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 14.9634 | Mid: 190.9050
[02:24:40] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 11.0744 | Mid: 190.7550
[02:24:41] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 8.3821 | Mid: 190.7900
[02:24:42] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 10.0074 | Mid: 190.8250
[02:24:43] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 0.6452 | Mid: 190.7650
[02:24:44] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -13.1084 | Mid: 190.7650
[02:24:45] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -13.1058 | Mid: 190.7650
[02:24:46] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -15.5641 | Mid: 190.7650
[02:24:47] State: FLAT | Pos: 0 | Sig: SELL_PRESSURE | Streak: 1 | EMA: -20.7949 | Mid: 190.7650
[02:24:48] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -14.5564 | Mid: 190.7650
[02:24:49] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -10.1895 | Mid: 190.7650
[02:24:50] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -7.1326 | Mid: 190.7650
[02:24:51] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 4.0972 | Mid: 190.8900
[02:24:52] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 6.0180 | Mid: 190.8800
[02:24:53] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 7.3626 | Mid: 190.8800
[02:24:54] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 8.3038 | Mid: 190.8800
[02:24:55] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 8.9627 | Mid: 190.8800
[02:24:56] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 0.3339 | Mid: 190.8800
[02:24:57] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 0.2337 | Mid: 190.8800
[02:24:58] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 0.1636 | Mid: 190.8800
[02:24:59] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -4.3855 | Mid: 190.8400
[02:25:00] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -15.9998 | Mid: 190.7600
[02:25:01] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -24.1299 | Mid: 190.7600
[02:25:02] State: FLAT | Pos: 0 | Sig: SELL_PRESSURE | Streak: 1 | EMA: -21.3909 | Mid: 190.8400
[02:25:03] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -19.4736 | Mid: 190.8400
[02:25:04] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -13.3316 | Mid: 190.8400
[02:25:05] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -0.6021 | Mid: 190.8400
[02:25:06] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 8.3085 | Mid: 190.8400
[02:25:07] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 6.1160 | Mid: 190.8400
[02:25:08] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -0.1588 | Mid: 190.8750
[02:25:09] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 4.0288 | Mid: 190.9250
[02:25:10] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 6.9602 | Mid: 190.9250
[02:25:11] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 13.1521 | Mid: 190.9500
[02:25:12] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 17.4865 | Mid: 190.9500
[02:25:13] State: FLAT | Pos: 0 | Sig: BUY_PRESSURE | Streak: 1 | EMA: 37.1705 | Mid: 191.0050
[02:25:14] State: FLAT | Pos: 0 | Sig: BUY_PRESSURE | Streak: 2 | EMA: 42.6694 | Mid: 191.0050
[02:25:15] State: ENTERING | Pos: 0 | Sig: BUY_PRESSURE | Streak: 0 | EMA: 46.5186 | Mid: 191.0050
[02:25:16] State: ENTERING | Pos: 0 | Sig: BUY_PRESSURE | Streak: 1 | EMA: 45.0730 | Mid: 191.0050
[02:25:17] State: ENTERING | Pos: 0 | Sig: BUY_PRESSURE | Streak: 2 | EMA: 43.7611 | Mid: 191.0050
[02:25:18] State: ENTERING | Pos: 0 | Sig: BUY_PRESSURE | Streak: 3 | EMA: 30.9328 | Mid: 191.0050
[02:25:19] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: 13.8229 | Mid: 190.9950
[02:25:20] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -10.4239 | Mid: 190.8600
[02:25:21] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -27.0968 | Mid: 190.8600
[02:25:22] State: FLAT | Pos: 0 | Sig: SELL_PRESSURE | Streak: 1 | EMA: -38.4677 | Mid: 190.8600
[02:25:23] State: FLAT | Pos: 0 | Sig: SELL_PRESSURE | Streak: 2 | EMA: -47.0274 | Mid: 190.8600
[02:25:24] State: ENTERING | Pos: 0 | Sig: SELL_PRESSURE | Streak: 0 | EMA: -42.3092 | Mid: 190.8750
[02:25:25] State: ENTERING | Pos: 0 | Sig: SELL_PRESSURE | Streak: 1 | EMA: -26.7364 | Mid: 190.8750
[02:25:26] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -16.1355 | Mid: 190.8750
[02:25:27] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -16.7549 | Mid: 190.7250
[02:25:28] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -23.8484 | Mid: 190.7150
[02:25:29] State: FLAT | Pos: 0 | Sig: NEUTRAL | Streak: 0 | EMA: -31.9939 | Mid: 190.7150
